Size, Seq, Par, Libc
500000, 0.165804, 0.156242, 0.191485
500000, 0.160331, 0.162364, 0.187991
500000, 0.162841, 0.155214, 0.184392
500000, 0.157813, 0.183466, 0.185710
500000, 0.158877, 0.148194, 0.185183
550000, 0.187327, 0.169018, 0.203476
550000, 0.185943, 0.174770, 0.205577
550000, 0.195222, 0.186404, 0.206733
550000, 0.182756, 0.172040, 0.207446
550000, 0.177944, 0.187636, 0.207440
600000, 0.217247, 0.204341, 0.228545
600000, 0.206865, 0.217947, 0.266566
600000, 0.257199, 0.235902, 0.233398
600000, 0.199081, 0.205986, 0.232464
600000, 0.203772, 0.189416, 0.238641
650000, 0.225048, 0.223804, 0.257601
650000, 0.219333, 0.197458, 0.249526
650000, 0.222235, 0.234364, 0.260949
650000, 0.224895, 0.213229, 0.247475
650000, 0.215430, 0.239812, 0.244396
700000, 0.234604, 0.238661, 0.267248
700000, 0.228956, 0.218461, 0.269189
700000, 0.232009, 0.215697, 0.275280
700000, 0.235546, 0.202253, 0.266900
700000, 0.244119, 0.223176, 0.271588
750000, 0.250483, 0.244634, 0.313771
750000, 0.289661, 0.274273, 0.304128
750000, 0.247817, 0.235131, 0.295842
750000, 0.256929, 0.241345, 0.293651
750000, 0.251909, 0.218559, 0.290061
800000, 0.268278, 0.207833, 0.304173
800000, 0.263211, 0.236571, 0.307849
800000, 0.265888, 0.236460, 0.308290
800000, 0.256636, 0.238707, 0.313266
800000, 0.261653, 0.257358, 0.382003
